run_id,timestamp,model,epochs,num_channels,sampling_rate_hz,train_fraction,input_type,final_train_loss,final_val_loss,final_val_cer,test_cer,training_time_sec,notes
CNN_16ch_1000hz_100pct_20260306_111009,2026-03-07 16:45:04,CNN,149,16,1000,1.0,spectrogram,0.9297804832458496,1.6346677541732788,49.091712951660156,36.80570602416992,2916.285770177841,ablation_sampling_rate
CNN_16ch_500hz_100pct_20260306_185422,2026-03-07 16:45:04,CNN,150,16,500,1.0,spectrogram,1.0540635585784912,2.1514785289764404,52.10456466674805,35.833152770996094,1539.70428109169,ablation_sampling_rate
CNN_16ch_250hz_100pct_20260306_195107,2026-03-07 16:45:04,CNN,149,16,250,1.0,spectrogram,2.443504810333252,2.8119380474090576,74.28001403808594,71.38534545898438,837.7466893196106,ablation_sampling_rate
CNN_16ch_125hz_100pct_20260306_211202,2026-03-07 16:45:04,CNN,150,16,125,1.0,spectrogram,nan,nan,99.41255950927734,99.97838592529297,544.4284389019012,ablation_sampling_rate
CNN_16ch_2000hz_100pct_20260304_170649,2026-03-07 16:50:09,CNN,150,16,2000,1.0,spectrogram,0.2051679491996765,0.9797639846801758,18.520158767700195,22.282257080078125,13907.940747499466,ablation_sampling_rate
CNN_16ch_1000hz_100pct_20260307_170137,2026-03-07 19:26:47,CNN,150,16,1000,1.0,spectrogram,1.03988778591156,1.6988931894302368,48.91448974609375,34.298683166503906,2963.452653169632,ablation_sampling_rate
CNN_16ch_500hz_100pct_20260307_175103,2026-03-07 19:26:47,CNN,150,16,500,1.0,spectrogram,1.1129757165908813,2.135138988494873,52.12671661376953,36.71925735473633,1564.680512189865,ablation_sampling_rate
CNN_16ch_250hz_100pct_20260307_181710,2026-03-07 19:26:47,CNN,150,16,250,1.0,spectrogram,2.2314934730529785,2.9208316802978516,74.54586029052734,71.92565155029297,901.1241607666016,ablation_sampling_rate
CNN_16ch_125hz_100pct_20260307_183214,2026-03-07 19:26:47,CNN,150,16,125,1.0,spectrogram,nan,nan,99.41255950927734,99.97838592529297,818.0544445514679,ablation_sampling_rate
CNN_16ch_2000hz_100pct_20260304_170649,2026-03-07 19:37:26,CNN,150,16,2000,1.0,spectrogram,0.2051679491996765,0.9797639846801758,18.520158767700195,22.282257080078125,13907.940747499466,ablation_channels
CNN_8ch_2000hz_100pct_20260305_100412,2026-03-07 19:37:26,CNN,150,8,2000,1.0,spectrogram,0.16126671433448792,0.9850333333015442,18.653079986572266,23.298032760620117,10215.36762714386,ablation_channels
CNN_4ch_2000hz_100pct_20260305_091742,2026-03-07 19:37:26,CNN,150,4,2000,1.0,spectrogram,0.13875530660152435,1.2585214376449585,24.878156661987305,27.12340545654297,11390.884694099426,ablation_channels
CNN_2ch_2000hz_100pct_20260305_091751,2026-03-07 19:37:26,CNN,150,2,2000,1.0,spectrogram,0.33705103397369385,1.893236756324768,40.850685119628906,44.99675750732422,11246.979137897491,ablation_channels
CNN_16ch_1000hz_100pct_20260307_223224,2026-03-08 12:39:36,CNN,150,16,1000,1.0,spectrogram,1.071475863456726,1.830334186553955,52.525474548339844,38.383399963378906,3493.970789909363,ablation_sampling_rate
CNN_16ch_500hz_100pct_20260307_233040,2026-03-08 12:39:36,CNN,150,16,500,1.0,spectrogram,1.2652806043624878,2.2409586906433105,58.41825485229492,46.57445526123047,3331.567025899887,ablation_sampling_rate
CNN_16ch_250hz_100pct_20260308_002614,2026-03-08 12:39:36,CNN,150,16,250,1.0,spectrogram,2.8079161643981934,2.8511593341827393,79.15374755859375,76.11843872070312,3528.9673266410828,ablation_sampling_rate
CNN_16ch_125hz_100pct_20260308_012505,2026-03-08 12:39:36,CNN,150,16,125,1.0,spectrogram,nan,nan,99.41255950927734,99.97838592529297,3690.835158109665,ablation_sampling_rate
CNN_16ch_2000hz_100pct_20260304_170649,2026-03-08 12:58:27,CNN,150,16,2000,1.0,spectrogram,0.2051679491996765,0.9797639846801758,18.520158767700195,22.282257080078125,13907.940747499466,ablation_channels
CNN_8ch_2000hz_100pct_20260305_100412,2026-03-08 12:58:27,CNN,150,8,2000,1.0,spectrogram,0.16126671433448792,0.9850333333015442,18.653079986572266,23.298032760620117,10215.36762714386,ablation_channels
CNN_4ch_2000hz_100pct_20260305_091742,2026-03-08 12:58:27,CNN,150,4,2000,1.0,spectrogram,0.13875530660152435,1.2585214376449585,24.878156661987305,27.12340545654297,11390.884694099426,ablation_channels
CNN_2ch_2000hz_100pct_20260308_120434,2026-03-08 12:58:27,CNN,150,2,2000,1.0,spectrogram,1.5712780952453613,2.7699055671691895,74.87815856933594,69.00799560546875,3231.416074991226,ablation_channels
CNN_16ch_2000hz_100pct_20260304_170649,2026-03-08 13:25:59,CNN,150,16,2000,1.0,spectrogram,0.2051679491996765,0.9797639846801758,18.520158767700195,22.282257080078125,13907.940747499466,ablation_channels
CNN_8ch_2000hz_100pct_20260305_100412,2026-03-08 13:25:59,CNN,150,8,2000,1.0,spectrogram,0.16126671433448792,0.9850333333015442,18.653079986572266,23.298032760620117,10215.36762714386,ablation_channels
CNN_4ch_2000hz_100pct_20260305_091742,2026-03-08 13:25:59,CNN,150,4,2000,1.0,spectrogram,0.13875530660152435,1.2585214376449585,24.878156661987305,27.12340545654297,11390.884694099426,ablation_channels
CNN_2ch_2000hz_100pct_20260308_120434,2026-03-08 13:25:59,CNN,150,2,2000,1.0,spectrogram,1.5712780952453613,2.7699055671691895,74.87815856933594,69.00799560546875,3231.416074991226,ablation_channels
